Resource,Prompt,Rego intent,Difficulty,Reference output,Intent
"aws_s3_bucket, aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_ownership_controls, aws_s3_bucket_policy, aws_s3_bucket_public_access_block","Create an AWS S3 bucket for CloudGoat data storage, with a dynamic bucket name incorporating the bucket_suffix ""test"" from a variable. Configure the bucket with private ACLs and ownership controls for ObjectWriter access. Set up another S3 bucket for web data storage with a similar dynamic name. Upload an object 'order_data2.csv' to the web data bucket from a local file path. Implement public access block settings for the web data bucket to ignore public ACLs, block public ACLs, and restrict public buckets. Lastly, create a bucket policy allowing 's3:PutObject' action for all principals on the web data bucket's objects.","package terraform.validation

default has_s3_bucket = false
default has_s3_bucket_acl = false
default has_s3_bucket_ownership_controls = false
default has_s3_bucket_public_access_block = false
default has_s3_bucket_policy = false
default valid_configuration = false

has_s3_bucket {
    resource := input.configuration.root_module.resources[_]
    resource.type == ""aws_s3_bucket""
    some i
    resource.expressions.bucket.references[i] == ""local.bucket_suffix""
}


has_s3_bucket_acl {
    resource := input.planned_values.root_module.resources[_]
    resource.type == ""aws_s3_bucket_acl""
    resource.values.acl != null
}

has_s3_bucket_ownership_controls {
    resource := input.planned_values.root_module.resources[_]
    resource.type == ""aws_s3_bucket_ownership_controls""
    resource.values.rule[_].object_ownership != null
}


has_s3_bucket_public_access_block {
    resource := input.planned_values.root_module.resources[_]
    resource.type == ""aws_s3_bucket_public_access_block""
    resource.values.block_public_acls == true
    resource.values.block_public_policy == false
    resource.values.ignore_public_acls == true
    resource.values.restrict_public_buckets == true
}

has_s3_bucket_policy {
    resource := input.configuration.root_module.resources[_]
    resource.type == ""aws_s3_bucket_policy""
    resource.expressions.policy.references != null
}


valid_configuration {
    has_s3_bucket
    has_s3_bucket_acl
    has_s3_bucket_ownership_controls
    has_s3_bucket_public_access_block
    has_s3_bucket_policy
}
",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

# Bucket Name Suffix
locals {
  bucket_suffix = ""test""
}

#S3 Bucket glue-final
resource ""aws_s3_bucket"" ""cg-data-s3-bucket"" {
  bucket        = ""cg-data-s3-bucket-${local.bucket_suffix}""
  force_destroy = true
}


# ACL is outdated (https://docs.aws.amazon.com/AmazonS3/latest/userguide/about-object-ownership.html)
# resource ""aws_s3_bucket_acl"" ""cg-data-s3-bucket-acl"" {
#   bucket     = aws_s3_bucket.cg-data-s3-bucket.id
#   acl        = ""private""
#   depends_on = [aws_s3_bucket_ownership_controls.s3_bucket_acl_ownership]
# }

resource ""aws_s3_bucket_ownership_controls"" ""s3_bucket_acl_ownership"" {
  bucket = aws_s3_bucket.cg-data-s3-bucket.id
  rule {
    object_ownership = ""BucketOwnerPreferred""
  }
}

# web to s3
# test-glue-scenario2
resource ""aws_s3_bucket"" ""cg-data-from-web"" {
  bucket        = ""cg-data-from-web-${local.bucket_suffix}""
  force_destroy = true
}

resource ""aws_s3_object"" ""web-data-primary"" {
  bucket = aws_s3_bucket.cg-data-from-web.id
  key    = ""order_data2.csv""
  source = ""./supplement/order_data2.csv""
  # acl    = ""bucket-owner-full-control""
}


resource ""aws_s3_bucket_public_access_block"" ""access_block"" {
  bucket = aws_s3_bucket.cg-data-from-web.id

  ignore_public_acls      = true
  block_public_acls       = true
  block_public_policy     = false
  restrict_public_buckets = true
}


resource ""aws_s3_bucket_policy"" ""put_object"" {
  bucket = aws_s3_bucket.cg-data-from-web.id
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Sid       = ""Statement1""
        Action    = [""s3:PutObject""]
        Effect    = ""Allow""
        Resource  = ""${aws_s3_bucket.cg-data-from-web.arn}/*""
        Principal = ""*""
      }
    ]
  })
  depends_on = [aws_s3_bucket_public_access_block.access_block]
}","has one aws_s3_bucket resource
with bucket

has one aws_s3_bucket_acl resource
with bucket
with acl

has one aws_s3_bucket_ownership_controls resource
with bucket
with rule
with object_ownership

has one aws_s3_object resource
with bucket
with key
with source

has one aws_s3_bucket_public_access_block resource
with bucket
with block_public_acls (boolean)
with block_public_policy (boolean)
with ignore_public_acls (boolean)
with restrict_public_buckets (boolean)

has one aws_s3_bucket_policy resource
with bucket
with policy"
"aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_policy","Create a Terraform configuration that defines an AWS S3 bucket, an ACL for the bucket, and a bucket policy allowing s3:GetObject actions with a condition based on the AWS Referer header. The bucket should have a unique name like ""my_unique_bucket_name,"" and the policy should grant access to all principals. ","package terraform.validation

default has_aws_s3_bucket = false
default has_aws_s3_bucket_acl = false
default has_aws_s3_bucket_policy = false
has_aws_s3_bucket {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""my_bucket""
    bucket.values.bucket == ""my_unique_bucket_name""
}

has_aws_s3_bucket_acl {
    acl := input.planned_values.root_module.resources[_]
    acl.type == ""aws_s3_bucket_acl""
    acl.name == ""my_bucket_acl""
    acl.values.bucket == input.planned_values.root_module.resources[_].values.id  # Ensure correct bucket reference
    acl.values.acl == ""private""
}

has_aws_s3_bucket_policy {
    policy := input.planned_values.root_module.resources[_]
    policy.type == ""aws_s3_bucket_policy""
    policy.name == ""my_bucket_policy""
    policy.values.bucket == input.planned_values.root_module.resources[_].values.id  # Ensure correct bucket reference
}

valid_configuration {
    has_aws_s3_bucket
    has_aws_s3_bucket_acl
    has_aws_s3_bucket_policy
}
",3,"provider ""aws"" {
    region = ""us-west-1""
}

resource ""aws_s3_bucket"" ""my_bucket"" {
  bucket = ""my_unique_bucket_name""
}

resource ""aws_s3_bucket_acl"" ""my_bucket_acl"" {
  bucket = aws_s3_bucket.my_bucket.id
  acl    = ""private""
}

resource ""aws_s3_bucket_policy"" ""my_bucket_policy"" {
  bucket = aws_s3_bucket.my_bucket.id
  policy = jsonencode({
    Version = ""2012-10-17"",
    Statement = [
      {
        Sid       = ""ExampleStatement1"",
        Effect    = ""Allow"",
        Principal = ""*"",
        Action    = [
          ""s3:GetObject""
        ],
        Resource = [
          ""${aws_s3_bucket.my_bucket.arn}/*""
        ],
        Condition = {
          StringEquals = {
            ""aws:Referer"" = ""http://www.example.com""
          }
        }
      }
    ]
  })
}","Resource ""aws_s3_bucket""
has one ""bucket""

Resource ""aws_s3_bucket_acl""
has one ""bucket""
has one ""acl""

Resource ""aws_s3_bucket_policy""
has one ""bucket""
has one ""policy"""
"aws_s3_bucket, aws_s3_bucket_notification, aws_sns_topic, aws_iam_policy_document",Create an IAM policy document that allows the 's3.amazonaws.com' service to publish to an SNS topic for S3 event notifications. Specify the actions as 'SNS:Publish' and set the resource to the ARN of the SNS topic 's3-event-notification-topic'. Apply a condition to allow this action only if the source ARN is similar to the ARN of the specified S3 bucket. Create an SNS topic named 's3-event-notification-topic' with the generated IAM policy. Set up an S3 bucket named 'your-bucket-name' and configure it to send notifications to the SNS topic for 's3:ObjectCreated:*' events with a filter for '.log' suffix.,"package terraform.validation

default has_aws_iam_policy_document_topic = false
default has_aws_sns_topic = false
default has_aws_s3_bucket = false
default has_aws_s3_bucket_notification = false

has_aws_iam_policy_document_topic {
    policy := input.planned_values.root_module.resources[_]
    policy.type == ""aws_iam_policy_document""
}

has_aws_sns_topic {
    topic := input.planned_values.root_module.resources[_]
    topic.type == ""aws_sns_topic""
    topic.name == ""topic""
    topic.values.name == ""s3-event-notification-topic""
    topic.values.policy == input.planned_values.root_module.resources[_].values.json  # Validate policy is correctly used from data source
}

has_aws_s3_bucket {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""bucket""
    bucket.values.bucket == ""your-bucket-name""
}

has_aws_s3_bucket_notification {
    notification := input.planned_values.root_module.resources[_]
    notification.type == ""aws_s3_bucket_notification""
    notification.name == ""bucket_notification""
    notification.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    notification.values.topic.topic_arn == input.planned_values.root_module.resources[_].values.arn  # Correct topic ARN reference
    notification.values.topic.events[0] == ""s3:ObjectCreated:*""
    notification.values.topic.filter_suffix == "".log""
}

valid_configuration {
    has_aws_iam_policy_document_topic
    has_aws_sns_topic
    has_aws_s3_bucket
    has_aws_s3_bucket_notification
}
",3,"provider ""aws"" {
    region = ""us-west-1""
}

data ""aws_iam_policy_document"" ""topic"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""s3.amazonaws.com""]
    }

    actions   = [""SNS:Publish""]
    resources = [""arn:aws:sns:*:*:s3-event-notification-topic""]

    condition {
      test     = ""ArnLike""
      variable = ""aws:SourceArn""
      values   = [aws_s3_bucket.bucket.arn]
    }
  }
}
resource ""aws_sns_topic"" ""topic"" {
  name   = ""s3-event-notification-topic""
  policy = data.aws_iam_policy_document.topic.json
}

resource ""aws_s3_bucket"" ""bucket"" {
  bucket = ""your-bucket-name""
}

resource ""aws_s3_bucket_notification"" ""bucket_notification"" {
  bucket = aws_s3_bucket.bucket.id

  topic {
    topic_arn     = aws_sns_topic.topic.arn
    events        = [""s3:ObjectCreated:*""]
    filter_suffix = "".log""
  }
}","Data ""aws_iam_policy_document""
has one ""effect""
has one ""principals"" 
has one ""actions""
has one ""resources""

Resource ""aws_sns_topic"" 
has one ""name""
uses the JSON output

Resource ""aws_s3_bucket"" 
has one ""bucket""

Resource ""aws_s3_bucket_notification"" 
has one ""bucket""
configures a ""topic"" notification with:
""topic_arn""
""events""
""filter_suffix"""
"aws_s3_bucket, aws_s3_bucket_object_lock_configuration, aws_s3_bucket_versioning","Create a Terraform configuration that sets up an AWS S3 bucket named ""mybucket"" with versioning enabled. Additionally, configure object lock retention for compliance mode with a retention period of 5 days. Ensure that the object lock configuration is applied to the same bucket as versioning. Use appropriate resource types and dynamic references for bucket IDs and ARNs in the configuration.","package terraform.validation

default has_aws_s3_bucket = false
default has_aws_s3_bucket_versioning = false
default has_aws_s3_bucket_object_lock_configuration = false

has_aws_s3_bucket {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""example""
    bucket.values.bucket == ""mybucket""
}

has_aws_s3_bucket_versioning {
    versioning := input.planned_values.root_module.resources[_]
    versioning.type == ""aws_s3_bucket_versioning""
    versioning.name == ""example""
    versioning.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    versioning.values.versioning_configuration.status == ""Enabled""
}

has_aws_s3_bucket_object_lock_configuration {
    lock_config := input.planned_values.root_module.resources[_]
    lock_config.type == ""aws_s3_bucket_object_lock_configuration""
    lock_config.name == ""example""
    lock_config.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    lock_config.values.rule.default_retention.mode == ""COMPLIANCE""
    lock_config.values.rule.default_retention.days == 5
}

valid_configuration {
    has_aws_s3_bucket
    has_aws_s3_bucket_versioning
    has_aws_s3_bucket_object_lock_configuration
}
",3,"provider ""aws"" {
    region = ""us-west-1""
}

resource ""aws_s3_bucket"" ""example"" {
  bucket = ""mybucket""
}

resource ""aws_s3_bucket_versioning"" ""example"" {
  bucket = aws_s3_bucket.example.id

  versioning_configuration {
    status = ""Enabled""
  }
}

resource ""aws_s3_bucket_object_lock_configuration"" ""example"" {
  bucket = aws_s3_bucket.example.id

  rule {
    default_retention {
      mode = ""COMPLIANCE""
      days = 5
    }
  }
}","Resource ""aws_s3_bucket""
has one ""bucket""

Resource ""aws_s3_bucket_versioning""
has one ""bucket""
with one ""status"" in ""versioning_configuration""

Resource ""aws_s3_bucket_object_lock_configuration""
has one ""bucket""
with one ""mode"" and ""days"" in ""default_retention"" within ""rule"""
"aws_kms_key, aws_s3_bucket, aws_s3_bucket_server_side_encryption_configuration","Create a Terraform configuration for an AWS environment. Start by defining a KMS key with a specific description and a set deletion window in days. Next, define an S3 bucket with a specified name. Finally, configure server-side encryption for the S3 bucket using the previously defined KMS key. The encryption should use the KMS algorithm specified in AWS. Include resource blocks for each component and ensure the bucket encryption references the KMS key's ARN and uses the KMS algorithm for encryption.","package terraform.validation

default has_aws_kms_key = false
default has_aws_s3_bucket = false
default has_aws_s3_bucket_server_side_encryption_configuration = false

has_aws_kms_key {
    key := input.planned_values.root_module.resources[_]
    key.type == ""aws_kms_key""
    key.name == ""mykey""
    key.values.description == ""This key is used to encrypt bucket objects""
    key.values.deletion_window_in_days == 10
}

has_aws_s3_bucket {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""mybucket""
    bucket.values.bucket == ""mybucket""
}

has_aws_s3_bucket_server_side_encryption_configuration {
    encryption_config := input.planned_values.root_module.resources[_]
    encryption_config.type == ""aws_s3_bucket_server_side_encryption_configuration""
    encryption_config.name == ""example""
    encryption_config.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    rule := encryption_config.values.rule.apply_server_side_encryption_by_default
    rule.kms_master_key_id == input.planned_values.root_module.resources[_].values.arn  # Correct KMS ARN reference
    rule.sse_algorithm == ""aws:kms""
}

valid_configuration {
    has_aws_kms_key
    has_aws_s3_bucket
    has_aws_s3_bucket_server_side_encryption_configuration
}",2,"provider ""aws"" {
    region = ""us-west-1""
}

resource ""aws_kms_key"" ""mykey"" {
  description             = ""This key is used to encrypt bucket objects""
  deletion_window_in_days = 10
}

resource ""aws_s3_bucket"" ""mybucket"" {
  bucket = ""mybucket""
}

resource ""aws_s3_bucket_server_side_encryption_configuration"" ""example"" {
  bucket = aws_s3_bucket.mybucket.id

  rule {
    apply_server_side_encryption_by_default {
      kms_master_key_id = aws_kms_key.mykey.arn
      sse_algorithm     = ""aws:kms""
    }
  }
}","Resource ""aws_kms_key""
has one ""description""
has one ""deletion_window_in_days""

Resource ""aws_s3_bucket""
has one ""bucket""

Resource ""aws_s3_bucket_server_side_encryption_configuration""
has one ""bucket""
within ""rule"", it specifies:
""kms_master_key_id""
""sse_algorithm"""
"aws_s3_bucket, aws_s3_bucket_acl, aws_s3_bucket_ownership_controls","Generate a Terraform configuration for managing AWS S3 resources. Start by creating an S3 bucket with a specific name. Follow this with a configuration block for S3 bucket ownership controls, referencing the bucket's ID and setting the object ownership policy to a predefined setting. Then, define an S3 bucket ACL resource that depends on the successful application of the ownership controls. This ACL should set the bucket access to private and also reference the bucket's ID. Ensure each resource block is defined clearly and connected appropriately through references.","package terraform.validation

default has_aws_s3_bucket = false
default has_aws_s3_bucket_ownership_controls = false
default has_aws_s3_bucket_acl = false

has_aws_s3_bucket {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""example""
    bucket.values.bucket == ""my-tf-example-bucket""
}

has_aws_s3_bucket_ownership_controls {
    ownership_controls := input.planned_values.root_module.resources[_]
    ownership_controls.type == ""aws_s3_bucket_ownership_controls""
    ownership_controls.name == ""example""
    ownership_controls.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    ownership_controls.values.rule.object_ownership == ""BucketOwnerPreferred""
}

has_aws_s3_bucket_acl {
    acl := input.planned_values.root_module.resources[_]
    acl.type == ""aws_s3_bucket_acl""
    acl.name == ""example""
    acl.values.bucket == input.planned_values.root_module.resources[_].values.id  # Correct bucket ID reference
    acl.values.acl == ""private""
    dependency := acl.depends_on[_]
    dependency == ""aws_s3_bucket_ownership_controls.example""
}

valid_configuration {
    has_aws_s3_bucket
    has_aws_s3_bucket_ownership_controls
    has_aws_s3_bucket_acl
}",2,"provider ""aws"" {
    region = ""us-west-1""
}

resource ""aws_s3_bucket"" ""example"" {
  bucket = ""my-tf-example-bucket""
}

resource ""aws_s3_bucket_ownership_controls"" ""example"" {
  bucket = aws_s3_bucket.example.id
  rule {
    object_ownership = ""BucketOwnerPreferred""
  }
}

resource ""aws_s3_bucket_acl"" ""example"" {
  depends_on = [aws_s3_bucket_ownership_controls.example]

  bucket = aws_s3_bucket.example.id
  acl    = ""private""
}","Resource ""aws_s3_bucket""
has one ""bucket""

Resource ""aws_s3_bucket_ownership_controls""
has one ""bucket""
within ""rule"", it specifies:
""object_ownership""

Resource ""aws_s3_bucket_acl""
has a dependency on ""aws_s3_bucket_ownership_controls.example""
has one ""bucket""
has one ""acl""
"
"aws_s3_bucket, aws_s3_bucket_ownership_controls","Generate a Terraform configuration for creating an AWS S3 bucket and setting its ownership controls. Define a resource for an S3 bucket with a specified name. Follow this by configuring ownership controls for this bucket, referencing its ID. Within the ownership controls, set a rule to specify the object ownership as 'BucketOwnerPreferred'. Ensure that the resources are properly linked using references, and the configuration is clearly laid out to reflect these settings.","package terraform.validation

default has_aws_s3_bucket_example = false
default has_aws_s3_bucket_ownership_controls_example = false

has_aws_s3_bucket_example {
    bucket := input.planned_values.root_module.resources[_]
    bucket.type == ""aws_s3_bucket""
    bucket.name == ""example""
    bucket.values.bucket == ""example""
}

has_aws_s3_bucket_ownership_controls_example {
    controls := input.planned_values.root_module.resources[_]
    controls.type == ""aws_s3_bucket_ownership_controls""
    controls.name == ""example""
    controls.values.bucket == input.planned_values.root_module.resources[_].values.id  # Ensures it's the correct reference to ""example"" bucket
    controls.values.rule.object_ownership == ""BucketOwnerPreferred""
}

valid_configuration {
    has_aws_s3_bucket_example
    has_aws_s3_bucket_ownership_controls_example
}
",2,"provider ""aws"" {
    region = ""us-west-1""
}

resource ""aws_s3_bucket"" ""example"" {
  bucket = ""example""
}

resource ""aws_s3_bucket_ownership_controls"" ""example"" {
  bucket = aws_s3_bucket.example.id

  rule {
    object_ownership = ""BucketOwnerPreferred""
  }
}","Resource ""aws_s3_bucket"" 
has one ""bucket""

Resource ""aws_s3_bucket_ownership_controls""
has one ""bucket""
within the ""rule"", it specifies:
""object_ownership"""
aws_ami,Create an AWS aws_ami resource for the latest Amazon Linux 2 AMI,"package terraform

default ami_latest_amazon_linux_2 = false

ami_latest_amazon_linux_2 {
    resource := input.configuration.root_module.resources[_]
    resource.type == ""aws_ami""
    resource.name == ""latest_amazon_linux_2""
    resource.expressions.filter[_].name.constant_value == ""name""
    resource.expressions.filter[_].values.constant_value[_] == ""amzn2-ami-hvm-*-x86_64-gp2""
    resource.expressions.most_recent.constant_value == true
    resource.expressions.owners.constant_value[_] == ""amazon""
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

data ""aws_ami"" ""latest_amazon_linux_2"" {
  most_recent = true
  owners      = [""amazon""]

  filter {
    name   = ""name""
    values = [""amzn2-ami-hvm-*-x86_64-gp2""]
  }
}",create aws_ami resource with name = any
aws_ami,Create an AWS aws_ami for the latest Amazon Linux 2 AMI,"package terraform

default ami_latest_amazon_linux_2 = false

ami_latest_amazon_linux_2 {
    resource := input.configuration.root_module.resources[_]
    resource.type == ""aws_ami""
    resource.name == ""latest_amazon_linux_2""
    resource.expressions.filter[_].name.constant_value == ""name""
    resource.expressions.filter[_].values.constant_value[_] == ""amzn2-ami-hvm-*-x86_64-gp2""
    resource.expressions.most_recent.constant_value == true
    resource.expressions.owners.constant_value[_] == ""amazon""
}",2,"provider ""aws"" {
  region = ""us-east-1""
}

data ""aws_ami"" ""latest_amazon_linux_2"" {
  most_recent = true
  owners      = [""amazon""]

  filter {
    name   = ""name""
    values = [""amzn2-ami-hvm-*-x86_64-gp2""]
  }
}",create aws_ami resource with name = any
"aws_dynamodb_table, aws_iam_role, aws_lambda_alias, aws_lambda_function, archive_file, aws_iam_policy_document",Create a Lambda function alias for aws_lambda_function,"package main

import future.keywords.in

default allow = false

# Check for Lambda Function URL Resource
aws_lambda_alias_valid(resources) {
    some resource in resources
    resource.type == ""aws_lambda_alias""
}

aws_lambda_function_valid(resources) {
    some resource in resources
    resource.type == ""aws_lambda_function""
}

# Aggregate all checks
allow {
    aws_lambda_alias_valid(input.resource_changes)
    aws_lambda_function_valid(input.resource_changes)
}",4,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}


provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_dynamodb_table"" ""example_table"" {
  name           = ""example_table""
  hash_key       = ""id""
  read_capacity  = 10
  write_capacity = 10

  attribute {
    name = ""id""
    type = ""S""
  }

  # Enable DynamoDB Streams
  stream_enabled   = true
  stream_view_type = ""NEW_AND_OLD_IMAGES"" # Choose as per your requirement

  # Other configurations for your table
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""lambda.amazonaws.com""]
    }

    actions = [""sts:AssumeRole""]
  }
}

resource ""aws_iam_role"" ""iam_for_lambda"" {
  name               = ""iam_for_lambda""
  assume_role_policy = data.aws_iam_policy_document.assume_role.json
}

resource ""aws_iam_policy"" ""lambda_dynamodb_policy"" {
  name   = ""lambda-dynamodb-policy""
  policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = [
          ""dynamodb:GetItem"",
          ""dynamodb:PutItem"",
          ""dynamodb:UpdateItem"",
          ""dynamodb:DeleteItem""
        ]
        Effect   = ""Allow""
        Resource = aws_dynamodb_table.example_table.arn
      }
    ]
  })
}

resource ""aws_iam_role_policy_attachment"" ""lambda_policy_attach"" {
  role       = aws_iam_role.iam_for_lambda.name
  policy_arn = aws_iam_policy.lambda_dynamodb_policy.arn
}

data ""archive_file"" ""lambda"" {
  type        = ""zip""
  source_file = ""./supplement/app.js""
  output_path = ""./supplement/app.zip""
}

resource ""aws_lambda_function"" ""example_lambda"" {
  filename      = data.archive_file.lambda.output_path
  function_name = ""lambda_app_function""
  source_code_hash = data.archive_file.lambda.output_base64sha256
  role          = aws_iam_role.iam_for_lambda.arn
  handler       = ""app.handler""
  runtime       = ""nodejs18.x""
}

resource ""aws_lambda_alias"" ""test_lambda_alias"" {
  name             = ""my_alias""
  description      = ""a sample description""
  function_name    = aws_lambda_function.example_lambda.arn
  function_version = ""$LATEST""
}","Needs to have an aws_lambda_function defined (IAM role, zip). Use aws_lambda_alias (need name, function_name, function_version)"
"aws_dynamodb_table, aws_iam_role, aws_lambda_event_source_mapping, aws_lambda_function, archive_file, aws_iam_policy_document",Create a Lambda event source mapping from a DynamoDB,"package main

import future.keywords.in

default allow = false

aws_dynamodb_table_valid(resources) {
    some resource in resources
    resource.type == ""aws_dynamodb_table""
}

aws_lambda_function_valid(resources) {
    some resource in resources
    resource.type == ""aws_lambda_function""
}

# Check for Lambda event source mapping from DynamoDB
aws_lambda_event_source_mapping_valid(resources) {
    some resource in resources
    resource.type == ""aws_lambda_event_source_mapping""
}

# Aggregate all checks
allow {
    aws_dynamodb_table_valid(input.resource_changes)
    aws_lambda_function_valid(input.resource_changes)
    aws_lambda_event_source_mapping_valid(input.resource_changes)
}",4,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}


provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_dynamodb_table"" ""example_table"" {
  name           = ""example_table""
  hash_key       = ""id""
  read_capacity  = 10
  write_capacity = 10

  attribute {
    name = ""id""
    type = ""S""
  }

  # Enable DynamoDB Streams
  stream_enabled   = true
  stream_view_type = ""NEW_AND_OLD_IMAGES"" # Choose as per your requirement

  # Other configurations for your table
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""lambda.amazonaws.com""]
    }

    actions = [""sts:AssumeRole""]
  }
}

resource ""aws_iam_role"" ""iam_for_lambda"" {
  name               = ""iam_for_lambda""
  assume_role_policy = data.aws_iam_policy_document.assume_role.json
}

resource ""aws_iam_role_policy"" ""dynamodb_lambda_policy"" {
  name   = ""lambda-dynamodb-policy""
  role   = aws_iam_role.iam_for_lambda.id
  policy = <<EOF
{
  ""Version"": ""2012-10-17"",
  ""Statement"": [
    {
        ""Sid"": ""AllowLambdaFunctionToCreateLogs"",
        ""Action"": [ 
            ""logs:*"" 
        ],
        ""Effect"": ""Allow"",
        ""Resource"": [ 
            ""arn:aws:logs:*:*:*"" 
        ]
    },
    {
        ""Sid"": ""AllowLambdaFunctionInvocation"",
        ""Effect"": ""Allow"",
        ""Action"": [
            ""lambda:InvokeFunction""
        ],
        ""Resource"": [
            ""${aws_dynamodb_table.example_table.arn}/stream/*""
        ]
    },
    {
        ""Sid"": ""APIAccessForDynamoDBStreams"",
        ""Effect"": ""Allow"",
        ""Action"": [
            ""dynamodb:GetRecords"",
            ""dynamodb:GetShardIterator"",
            ""dynamodb:DescribeStream"",
            ""dynamodb:ListStreams""
        ],
        ""Resource"": ""${aws_dynamodb_table.example_table.arn}/stream/*""
    }
  ]
}
EOF
}

data ""archive_file"" ""lambda_zip_file"" {
  type        = ""zip""
  source_file = ""./supplement/app.js""
  output_path = ""./supplement/app.zip""
}

resource ""aws_lambda_function"" ""example_lambda"" {
  filename      = data.archive_file.lambda_zip_file.output_path
  function_name = ""lambda_app_function""
  source_code_hash = data.archive_file.lambda_zip_file.output_base64sha256
  role          = aws_iam_role.iam_for_lambda.arn
  handler       = ""app.handler""
  runtime       = ""nodejs18.x""
}

resource ""aws_lambda_event_source_mapping"" ""dynamodb_lambda_mapping"" {
  event_source_arn  = aws_dynamodb_table.example_table.stream_arn
  function_name     = aws_lambda_function.example_lambda.arn
  starting_position = ""LATEST"" # or ""TRIM_HORIZON"" as per your use case

}

output ""dynamodb_arn"" {
  value = aws_dynamodb_table.example_table.arn
  description = ""The ARN of the DynamoDB table""
}

output ""lambda_processing_arn"" {
  value = aws_lambda_function.example_lambda.arn
  description = ""The ARN of the Lambda function processing the DynamoDB stream""
}","Needs to have an aws_lambda_function defined (IAM role, zip). Create a DynamoDB table. Create lambda source event from an event source from DynamoDB table and function name."
