IaC LLM Evaluation - Concise Summary,,,,,
"Gộp từ 3 tab: Paper Summary, Metric Formulas, Your Eval Pipeline",,,,,
1. Research & benchmarks,,,,,
Paper,Dataset / Benchmark,IaC format,Evaluates,Pipeline / metrics,Key result / source
pass@k,Whether any of k independent samples is correct,"pass@k = 1 - C(n-c,k)/C(n,k)",Code-generation benchmark with multiple samples per prompt,Benchmark harness,Use bounded k and report n/c assumptions
passItr@n,Feedback loop success by iteration n,tasks successful before/at n / total tasks x 100%,Agent generate -> validate/plan/deploy -> fix -> retry,Retry log,"Report N clearly: 3, 5, 10, or 25"
Validation Pass Rate@n,Generated code validates,validate pass within n attempts / total tasks x 100%,Terraform/OpenTofu validation,terraform init -backend=false; terraform validate,Pin Terraform/provider versions
Plan Pass Rate@n,Plan can be created,plan pass within n attempts / total tasks x 100%,Terraform plan without real deployment,terraform plan,Use sandbox variables/provider config
Deploy Success Rate@n,Real deploy succeeds,deploy success within n attempts / total tasks x 100%,AWS/local cloud test account available,terraform apply / CloudFormation deploy,Must cleanup resources
Intent Pass Rate,Output satisfies user requirements,outputs passing intent spec / total outputs x 100%,OPA/Rego or custom resource/attribute rules exist,OPA/Rego checker,Most important correctness metric
Resource Coverage,Required resources are present,correct required resources / total required resources x 100%,Prompt has resource checklist,Custom parser/checker,Useful before full semantic checking
Attribute Coverage,Required attributes are correct,correct required attributes / total required attributes x 100%,"Examples: encryption, versioning, public access block",Custom parser/checker,Separate missing vs wrong attributes
Security Compliance Rate,No failed security policy,templates passing policy / templates scanned x 100%,Security scan is required,Checkov / Trivy / KICS / OPA,Set severity threshold upfront
Avg Failed Policies,Average security issue volume,failed policies total / scanned templates,Compare safer model/agent variants,Security scanner output,Report by severity when possible
Avg Iterations to Success,How many rounds successful tasks need,iterations for successful tasks / successful tasks,Compare self-repair efficiency,Retry log,Pair with passItr@n to avoid survivorship bias
,,,,,
3. Recommended evaluation pipeline,,,,,
Step,Tool,Pass condition,Metric logged,Why it matters,Notes
1. Generate,LLM / multi-agent,Enough .tf files are produced,"raw_output, token/cost",Captures baseline model behavior,Save prompt + output for reproducibility
2. Init,terraform init -backend=false,Providers/modules initialize without backend side effects,Init Pass Rate,Catches provider/module setup issues before validate,Pin Terraform and provider versions
3. Format,terraform fmt -check,No formatting changes needed,Fmt Pass Rate,Separates style failure from semantic failure,"If auto-format is used, report raw vs post-fix"
4. Validate,terraform validate,Syntax and provider schema are valid,Validation Pass Rate@n,"Catches variables, provider blocks, schema errors",Run after init
5. Plan,terraform plan,Plan is produced without dependency errors,Plan Pass Rate@n,Stronger than validate but cheaper than deploy,Use LocalStack/Floci if suitable
6. Intent check,OPA/Rego or custom checker,Required resources and attributes match prompt,"Intent Pass, Resource Coverage, Attribute Coverage",Proves output satisfies the actual requirement,Write checklist/spec per prompt
7. Security scan,Checkov / Trivy / KICS,No HIGH/CRITICAL or required policies pass,"Compliance Rate, Avg Failed Policies",Prevents unsafe deployable IaC,Report failed policies by severity
8. Deploy test,AWS sandbox / LocalStack / Floci,Apply succeeds and cleanup succeeds,"Deploy Success Rate, passItr@n",Measures real utility,Optional if cost/permissions are limited
9. Feedback loop,Error analyzer + fixer agent,Passes within max N rounds,"passItr@n, Avg Iterations",Measures self-repair ability,"Set N = 3, 5, or 10 based on time"
10. Final report,Excel/CSV log,Per-task result table exists,"Success rate, failure type distribution",Makes comparison auditable,Classify failures: init/fmt/validate/plan/intent/security/deploy
